dim,scenario,run,seed,rcSuccess,lenRaw,lenSeed,tSeed,success,length,tOpt,time
2d,一般,1,20261904,1,208.982,208.982,0.0822,1,208.982,0.0871,0.1693
2d,一般,2,20261905,1,208.757,208.757,0.0155,1,208.757,0.1017,0.1172
2d,一般,3,20261906,1,209.121,209.121,0.0068,1,209.121,0.1049,0.1118
2d,一般,4,20261907,1,209.188,209.188,0.0038,1,209.188,0.1014,0.1052
2d,一般,5,20261908,1,223.073,223.073,0.0130,1,208.640,0.0953,0.1083
2d,一般,6,20261909,1,209.235,209.235,0.0052,1,209.235,0.0578,0.0630
2d,一般,7,20261910,1,208.809,208.809,0.0019,1,208.809,0.0276,0.0294
2d,一般,8,20261911,1,209.121,209.121,0.0024,1,209.121,0.0336,0.0360
2d,一般,9,20261912,1,218.636,218.636,0.0034,1,209.134,0.0826,0.0861
2d,一般,10,20261913,1,209.056,209.056,0.0016,1,209.056,0.0189,0.0205
2d,一般,11,20261914,1,220.233,220.233,0.0027,1,209.503,0.0753,0.0780
2d,一般,12,20261915,1,208.589,208.589,0.0027,1,208.589,0.0213,0.0240
2d,一般,13,20261916,1,219.099,219.099,0.0030,1,208.916,0.0997,0.1027
2d,一般,14,20261917,1,209.720,209.720,0.0022,1,209.720,0.0797,0.0819
2d,一般,15,20261918,1,209.397,209.397,0.0019,1,209.397,0.0250,0.0269
2d,一般,16,20261919,1,210.138,210.138,0.0034,1,210.138,0.0724,0.0758
2d,一般,17,20261920,1,209.451,209.451,0.0048,1,209.451,0.0573,0.0621
2d,一般,18,20261921,1,209.243,209.243,0.0018,1,209.243,0.0346,0.0364
2d,一般,19,20261922,1,227.975,227.975,0.0022,1,208.750,0.0879,0.0901
2d,一般,20,20261923,1,214.879,214.879,0.0037,1,208.938,0.0794,0.0831
2d,一般,21,20261924,1,209.343,209.343,0.0031,1,209.343,0.0549,0.0581
2d,一般,22,20261925,1,209.029,209.029,0.0013,1,209.029,0.0210,0.0223
2d,一般,23,20261926,1,208.981,208.981,0.0015,1,208.981,0.0125,0.0140
2d,一般,24,20261927,1,215.936,215.936,0.0017,1,208.570,0.0765,0.0782
2d,一般,25,20261928,1,211.921,211.921,0.0020,1,209.145,0.0687,0.0708
2d,一般,26,20261929,1,219.532,219.532,0.0022,1,208.960,0.0786,0.0807
2d,一般,27,20261930,1,208.915,208.915,0.0020,1,208.915,0.0451,0.0471
2d,一般,28,20261931,1,208.736,208.736,0.0018,1,208.736,0.0371,0.0390
2d,一般,29,20261932,1,219.005,219.005,0.0026,1,208.674,0.0664,0.0691
2d,一般,30,20261933,1,209.273,209.273,0.0020,1,209.273,0.0513,0.0533
2d,一般,31,20261934,1,216.275,216.275,0.0014,1,208.707,0.0729,0.0743
2d,一般,32,20261935,1,214.660,214.660,0.0032,1,208.800,0.0577,0.0610
2d,一般,33,20261936,1,208.923,208.923,0.0014,1,208.923,0.0220,0.0234
2d,一般,34,20261937,1,215.587,215.587,0.0018,1,208.875,0.0784,0.0802
2d,一般,35,20261938,1,227.502,227.502,0.0015,1,208.537,0.0708,0.0723
2d,一般,36,20261939,1,218.269,218.269,0.0023,1,209.018,0.0546,0.0569
2d,一般,37,20261940,1,209.725,209.725,0.0017,1,209.725,0.0290,0.0307
2d,一般,38,20261941,1,208.862,208.862,0.0022,1,208.862,0.0363,0.0385
2d,一般,39,20261942,1,208.747,208.747,0.0019,1,208.747,0.0187,0.0205
2d,一般,40,20261943,1,222.024,222.024,0.0019,1,208.776,0.0661,0.0680
2d,一般,41,20261944,1,216.886,216.886,0.0029,1,209.083,0.0682,0.0711
2d,一般,42,20261945,1,208.992,208.992,0.0020,1,208.992,0.0232,0.0252
2d,一般,43,20261946,1,229.740,229.740,0.0021,1,208.918,0.0777,0.0798
2d,一般,44,20261947,1,208.895,208.895,0.0014,1,208.895,0.0454,0.0468
2d,一般,45,20261948,1,209.326,209.326,0.0025,1,209.326,0.0343,0.0368
2d,一般,46,20261949,1,216.884,216.884,0.0016,1,209.220,0.0544,0.0559
2d,一般,47,20261950,1,209.003,209.003,0.0016,1,209.003,0.0242,0.0258
2d,一般,48,20261951,1,209.080,209.080,0.0015,1,209.080,0.0534,0.0549
2d,一般,49,20261952,1,216.048,216.048,0.0022,1,208.837,0.0693,0.0715
2d,一般,50,20261953,1,209.569,209.569,0.0020,1,209.569,0.0310,0.0330
2d,狭窄,1,20262904,1,258.516,258.516,0.0085,1,213.719,0.0661,0.0746
2d,狭窄,2,20262905,1,259.638,259.638,0.0127,1,222.152,0.0612,0.0739
2d,狭窄,3,20262906,1,216.206,216.206,0.0053,1,216.206,0.0771,0.0824
2d,狭窄,4,20262907,1,216.312,216.312,0.0025,1,216.312,0.0352,0.0377
2d,狭窄,5,20262908,1,215.735,215.735,0.0026,1,215.735,0.0157,0.0183
2d,狭窄,6,20262909,1,223.977,223.977,0.0044,1,223.977,0.0541,0.0585
2d,狭窄,7,20262910,1,216.331,216.331,0.0024,1,216.331,0.0596,0.0619
2d,狭窄,8,20262911,1,215.490,215.490,0.0023,1,215.490,0.0623,0.0646
2d,狭窄,9,20262912,1,217.034,217.034,0.0035,1,217.034,0.0309,0.0343
2d,狭窄,10,20262913,1,253.545,253.545,0.0086,1,253.545,0.0395,0.0481
2d,狭窄,11,20262914,1,216.045,216.045,0.0037,1,216.045,0.0219,0.0256
2d,狭窄,12,20262915,1,214.767,214.767,0.0025,1,214.767,0.0168,0.0193
2d,狭窄,13,20262916,1,217.705,217.705,0.0263,1,217.705,0.0427,0.0689
2d,狭窄,14,20262917,1,252.017,252.017,0.0098,1,236.163,0.0444,0.0542
2d,狭窄,15,20262918,1,221.759,221.759,0.0033,1,212.450,0.0627,0.0660
2d,狭窄,16,20262919,1,215.573,215.573,0.0036,1,215.573,0.0669,0.0705
2d,狭窄,17,20262920,1,215.177,215.177,0.0219,1,215.177,0.0292,0.0511
2d,狭窄,18,20262921,1,241.215,241.215,0.0034,1,241.215,0.0215,0.0248
2d,狭窄,19,20262922,1,218.918,218.918,0.0019,1,218.918,0.0719,0.0738
2d,狭窄,20,20262923,1,223.303,223.303,0.0099,1,223.303,0.0414,0.0514
