variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
APF-only,一般,1,20261904,1,442.385244950109,0.1254463,0.1077517,0.1254463,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,1,20261904,1,273.0293882442,0.7231248,0.0267196,0,0.7231248,4322,6.19921484167367,2.75673659142194,NaN,NaN,0
w/o seed shortcutting,一般,1,20261904,1,271.314213017468,0.6161602,0.0157602,0.0157602,0.5869967,4232,4.61065317821348,2.19961975253267,0,5,0
w/o ellipse seeding,一般,1,20261904,1,266.852255463576,0.4951137,0.0093023,0.0093023,0.4849406,4131,3.39724220068064,0.0510554052007569,0,5,0
w/o path-bias sampling,一般,1,20261904,1,266.486631275315,0.5102144,0.0061889,0.0061889,0.5029305,3878,2.83017462167799,1.07583226352688,0,5,0
w/o dynamic rewiring,一般,1,20261904,1,275.205796842349,0.557443,0.0104216,0.0104216,0.5436688,4183,8.30034476334411,0.441694327740532,0,5,0
AB-IRRT* (full),一般,1,20261904,1,268.041617987905,0.4637401,0.0085513,0.0085513,0.4507763,4077,4.40990331822228,0.0242632592796373,0,5,0
APF-only,一般,2,20261905,1,442.385244950109,0.0065459,0.0063041,0.0065459,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,2,20261905,1,275.300862001119,0.5622217,0.0105547,0,0.5622217,4325,7.15314807875458,0.403779334045353,NaN,NaN,0
w/o seed shortcutting,一般,2,20261905,1,264.326474109721,0.4946327,0.0067975,0.0067975,0.4871687,4114,2.35566433392808,0.0885068226810972,0,5,0
w/o ellipse seeding,一般,2,20261905,1,267.219121798838,0.4786149,0.0063667,0.0063667,0.4716231,4203,3.65850223402959,0.437832560377552,0,5,0
w/o path-bias sampling,一般,2,20261905,1,264.147316341906,0.5056721,0.0087426,0.0087426,0.4967651,3915,3.06432707369389,0.310112544078246,0,5,0
w/o dynamic rewiring,一般,2,20261905,1,276.853248435528,0.5202017,0.0075705,0.0075705,0.5116522,4201,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,2,20261905,1,264.161804194859,0.463563,0.0046746,0.0046746,0.4587834,3977,2.07892789379155,0.0638101278954792,0,5,0
APF-only,一般,3,20261906,1,442.385244950109,0.0048812,0.0046663,0.0048812,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,3,20261906,1,280.278594540704,0.4925423,0.0252937,0,0.4925423,4364,8.57610055357652,0.553476520975993,NaN,NaN,0
w/o seed shortcutting,一般,3,20261906,1,267.433769944721,0.4666163,0.0045678,0.0045678,0.461936,4270,2.70038949915419,1.59133538357072,0,5,0
w/o ellipse seeding,一般,3,20261906,1,270.646626563189,0.4566269,0.0043549,0.0043549,0.4521737,4333,4.5720832569579,1.48759156718688,0,5,0
w/o path-bias sampling,一般,3,20261906,1,264.588972845891,0.4308263,0.0053141,0.0053141,0.4253988,4019,2.93663032541567,1.332761210364,0,5,0
w/o dynamic rewiring,一般,3,20261906,1,270.750364555992,0.4998747,0.0055082,0.0055082,0.4942499,4146,6.46369715803115,0.148626710305614,0,5,0
AB-IRRT* (full),一般,3,20261906,1,264.123311822841,0.4733469,0.0044723,0.0044723,0.4687778,3935,2.27466583145309,0.0426432824711043,0,5,0
APF-only,一般,4,20261907,1,442.385244950109,0.0049221,0.0047066,0.0049221,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,4,20261907,1,275.506529482188,0.4906264,0.0163637,0,0.4906264,4381,8.89217656255839,0.513997359717788,NaN,NaN,0
w/o seed shortcutting,一般,4,20261907,1,273.576124218365,0.4610113,0.0043575,0.0043575,0.4565546,4324,5.71368306485271,0.168303204885331,0,5,0
w/o ellipse seeding,一般,4,20261907,1,268.079998302333,0.5060388,0.0048831,0.0048831,0.5010494,4221,3.8411037701528,1.70174086337295,0,5,0
w/o path-bias sampling,一般,4,20261907,1,265.89757984783,0.4769608,0.0073926,0.0073926,0.4694429,4131,3.48217420283337,0.353918164323489,0,5,0
