dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
2d,一般,20261901,0,1,0,reactive,52,1,5,5,0.1203,231.428
2d,一般,20261902,0,1,0,reactive,52,1,5,5,0.0081,231.428
2d,一般,20261903,0,1,0,reactive,52,1,5,5,0.0039,231.428
2d,一般,20261904,0,1,0,reactive,52,1,5,5,0.0074,231.428
2d,一般,20261905,0,1,0,reactive,52,1,5,5,0.0103,231.428
2d,一般,20261906,0,1,0,reactive,52,1,5,5,0.0041,231.428
2d,一般,20261907,0,1,0,reactive,52,1,5,5,0.0026,231.428
2d,一般,20261908,0,1,0,reactive,52,1,5,5,0.0021,231.428
2d,一般,20261909,0,1,0,reactive,52,1,5,5,0.0025,231.428
2d,一般,20261910,0,1,0,reactive,52,1,5,5,0.0020,231.428
2d,一般,20261911,0,1,0,reactive,52,1,5,5,0.0024,231.428
2d,一般,20261912,0,1,0,reactive,52,1,5,5,0.0022,231.428
2d,一般,20261913,0,1,0,reactive,52,1,5,5,0.0015,231.428
2d,一般,20261914,0,1,0,reactive,52,1,5,5,0.0017,231.428
2d,一般,20261915,0,1,0,reactive,52,1,5,5,0.0027,231.428
2d,一般,20261916,0,1,0,reactive,52,1,5,5,0.0013,231.428
2d,一般,20261917,0,1,0,reactive,52,1,5,5,0.0017,231.428
2d,一般,20261918,0,1,0,reactive,52,1,5,5,0.0018,231.428
2d,一般,20261919,0,1,0,reactive,52,1,5,5,0.0016,231.428
2d,一般,20261920,0,1,0,reactive,52,1,5,5,0.0028,231.428
2d,狭窄,20261901,0,0,1,rrt-connect,4,1,9,7,0.0802,264.985
2d,狭窄,20261902,0,0,1,rrt-connect,2,1,9,7,0.0336,256.084
2d,狭窄,20261903,0,0,1,rrt-connect,3,1,9,7,0.0260,250.287
2d,狭窄,20261904,0,0,1,rrt-connect,6,1,9,7,0.0147,224.870
2d,狭窄,20261905,0,0,1,rrt-connect,4,1,9,7,0.0165,251.331
2d,狭窄,20261906,0,0,1,rrt-connect,3,1,9,7,0.0115,254.512
2d,狭窄,20261907,0,0,1,rrt-connect,3,1,9,7,0.0336,264.074
2d,狭窄,20261908,0,0,1,rrt-connect,3,1,9,7,0.0181,251.417
2d,狭窄,20261909,0,0,1,rrt-connect,3,1,9,7,0.0776,256.851
2d,狭窄,20261910,0,0,1,rrt-connect,6,1,9,7,0.0075,217.333
2d,狭窄,20261911,0,0,1,rrt-connect,5,1,9,7,0.0101,228.380
2d,狭窄,20261912,0,0,1,rrt-connect,6,1,9,7,0.0069,217.745
2d,狭窄,20261913,0,0,1,rrt-connect,2,1,9,7,0.0061,250.998
2d,狭窄,20261914,0,0,1,rrt-connect,4,1,9,7,0.0172,239.566
2d,狭窄,20261915,0,0,1,rrt-connect,4,1,9,7,0.0132,260.671
2d,狭窄,20261916,0,0,1,rrt-connect,6,1,9,7,0.0094,216.968
2d,狭窄,20261917,0,0,1,rrt-connect,5,1,9,7,0.0209,217.916
2d,狭窄,20261918,0,0,1,rrt-connect,5,1,9,7,0.0126,219.763
2d,狭窄,20261919,0,0,1,rrt-connect,4,1,9,7,0.0085,226.399
2d,狭窄,20261920,0,0,1,rrt-connect,3,1,9,7,0.0113,257.539
2d,广阔,20261901,0,1,0,reactive,72,1,8,8,0.0041,305.468
2d,广阔,20261902,0,1,0,reactive,72,1,8,8,0.0019,305.468
2d,广阔,20261903,0,1,0,reactive,72,1,8,8,0.0024,305.468
2d,广阔,20261904,0,1,0,reactive,72,1,8,8,0.0019,305.468
2d,广阔,20261905,0,1,0,reactive,72,1,8,8,0.0020,305.468
