budget,scenario,algorithm,nPaired,meanLengthPaired
500,一般,AB-IRRT*,50,210.348300363825
1000,一般,AB-IRRT*,50,210.108984119292
2000,一般,AB-IRRT*,50,209.610813045835
500,一般,RRT*,49,217.519766357426
1000,一般,RRT*,49,215.321794630751
2000,一般,RRT*,49,212.160080439647
500,一般,Informed-RRT*,49,217.981456181529
1000,一般,Informed-RRT*,49,213.870104821442
2000,一般,Informed-RRT*,49,210.242093259134
500,一般,PRM*,50,214.78760289974
1000,一般,PRM*,50,212.547979264426
2000,一般,PRM*,50,211.178373133122
500,一般,FMT*,47,218.991288653817
1000,一般,FMT*,47,217.089105812059
2000,一般,FMT*,47,217.079491360392
500,一般,BIT*,48,213.823719229484
1000,一般,BIT*,48,211.148020747089
2000,一般,BIT*,48,210.628107263939
500,一般,RRT#,49,216.900534927875
1000,一般,RRT#,49,213.822621487371
2000,一般,RRT#,49,210.59852363451
500,一般,APF-only,50,229.358752665851
1000,一般,APF-only,50,229.358752665851
2000,一般,APF-only,50,229.358752665851
500,狭窄,AB-IRRT*,50,212.885243942151
1000,狭窄,AB-IRRT*,50,212.885243942151
2000,狭窄,AB-IRRT*,50,212.885243942151
500,狭窄,RRT*,19,223.899748051855
1000,狭窄,RRT*,19,221.472659638978
2000,狭窄,RRT*,19,217.008165723919
500,狭窄,Informed-RRT*,19,223.954923674019
1000,狭窄,Informed-RRT*,19,220.799561607803
2000,狭窄,Informed-RRT*,19,217.066046775607
500,狭窄,PRM*,48,231.656379753617
1000,狭窄,PRM*,48,227.457690977611
2000,狭窄,PRM*,48,225.101400388186
500,狭窄,FMT*,40,249.741702409217
1000,狭窄,FMT*,40,249.079219189179
2000,狭窄,FMT*,40,249.079219189179
500,狭窄,BIT*,25,240.761197869682
1000,狭窄,BIT*,25,236.833479182418
2000,狭窄,BIT*,25,235.47457147828
500,狭窄,RRT#,19,223.277750516082
1000,狭窄,RRT#,19,220.463820386534
2000,狭窄,RRT#,19,215.529785853491
500,狭窄,APF-only,50,279.791130115633
1000,狭窄,APF-only,50,279.791130115633
2000,狭窄,APF-only,50,279.791130115633
500,广阔,AB-IRRT*,50,217.117916795631
1000,广阔,AB-IRRT*,50,214.075016561311
2000,广阔,AB-IRRT*,50,210.93196508351
500,广阔,RRT*,50,233.864067007653
1000,广阔,RRT*,50,231.905144050934
2000,广阔,RRT*,50,228.80745240772
500,广阔,Informed-RRT*,50,230.656772973705
1000,广阔,Informed-RRT*,50,226.963966782018
2000,广阔,Informed-RRT*,50,214.907606054501
500,广阔,PRM*,50,222.662430454321
1000,广阔,PRM*,50,218.457097480344
2000,广阔,PRM*,50,215.198317810247
500,广阔,FMT*,50,228.357419421782
1000,广阔,FMT*,50,219.809473792231
2000,广阔,FMT*,50,216.484599008414
500,广阔,BIT*,50,209.952413230469
1000,广阔,BIT*,50,209.677168258022
2000,广阔,BIT*,50,209.471375352296
500,广阔,RRT#,50,233.638997201107
1000,广阔,RRT#,50,231.203755158352
2000,广阔,RRT#,50,227.901765953277
500,广阔,APF-only,50,301.840641895898
1000,广阔,APF-only,50,301.840641895898
2000,广阔,APF-only,50,301.840641895898
