budget,scenario,algorithm,successRate,meanLength,stdLength
500,一般,AB-IRRT*,100,210.348300363825,0.507934327233292
500,一般,RRT*,98,217.519766357426,6.88041591855736
500,一般,Informed-RRT*,98,217.981456181529,7.73524285481232
500,一般,PRM*,100,214.78760289974,3.40109264925739
500,一般,FMT*,94,218.991288653817,7.42046374686117
500,一般,BIT*,96,213.823719229484,7.33288773269567
500,一般,RRT#,98,216.900534927875,6.55449836477091
500,一般,APF-only,100,229.358752665851,2.87102621016462e-14
500,狭窄,AB-IRRT*,100,212.885243942151,8.61307863049385e-14
500,狭窄,RRT*,38,223.899748051855,8.46085414074776
500,狭窄,Informed-RRT*,38,223.954923674019,8.98555694468119
500,狭窄,PRM*,96,231.656379753617,7.04620081580446
500,狭窄,FMT*,86,249.646094099213,9.59427299998859
500,狭窄,BIT*,52,240.865431823068,8.46053167748535
500,狭窄,RRT#,38,223.277750516082,7.97174541254544
500,狭窄,APF-only,100,279.791130115633,5.74205242032923e-14
500,广阔,AB-IRRT*,100,217.117916795631,3.75502697048364
500,广阔,RRT*,100,233.864067007653,18.0077587758678
500,广阔,Informed-RRT*,100,230.656772973705,18.7395434399846
500,广阔,PRM*,100,222.662430454321,7.48371227457705
500,广阔,FMT*,100,228.357419421782,15.387823869593
500,广阔,BIT*,100,209.952413230469,0.632067682485465
500,广阔,RRT#,100,233.638997201107,17.762247604691
500,广阔,APF-only,100,301.840641895898,0
1000,一般,AB-IRRT*,100,210.108984119292,0.387218832102975
1000,一般,RRT*,100,215.263095086339,4.22934863799829
1000,一般,Informed-RRT*,100,213.847341092957,3.37951772660795
1000,一般,PRM*,100,212.547979264426,2.0399936067784
1000,一般,FMT*,100,217.038814939435,5.5299153567358
1000,一般,BIT*,96,211.148020747089,1.616157898545
1000,一般,RRT#,100,213.766850789856,3.89829410120456
1000,一般,APF-only,100,229.358752665851,2.87102621016462e-14
1000,狭窄,AB-IRRT*,100,212.885243942151,8.61307863049385e-14
1000,狭窄,RRT*,72,228.675037410114,15.0924514690206
1000,狭窄,Informed-RRT*,72,228.467156910662,16.1523613460112
1000,狭窄,PRM*,100,228.122493869431,6.91082110983688
1000,狭窄,FMT*,90,248.249181006213,10.4538082196613
1000,狭窄,BIT*,50,236.833479182418,8.26528915831072
1000,狭窄,RRT#,72,227.403251111609,14.2093776329497
1000,狭窄,APF-only,100,279.791130115633,5.74205242032923e-14
1000,广阔,AB-IRRT*,100,214.075016561311,3.19166900526023
1000,广阔,RRT*,100,231.905144050934,17.7993534445713
1000,广阔,Informed-RRT*,100,226.963966782018,18.4392406980708
1000,广阔,PRM*,100,218.457097480344,5.39143512990148
1000,广阔,FMT*,100,219.809473792231,7.85929413340315
1000,广阔,BIT*,100,209.677168258022,1.14410872699933
1000,广阔,RRT#,100,231.203755158352,17.0655704055824
1000,广阔,APF-only,100,301.840641895898,0
2000,一般,AB-IRRT*,100,209.610813045835,0.382955497533853
2000,一般,RRT*,100,212.123613392789,2.18939265073103
2000,一般,Informed-RRT*,100,210.239115839128,0.973904323502759
2000,一般,PRM*,100,211.178373133122,1.04817218966742
2000,一般,FMT*,100,217.029777354868,5.53383888691126
2000,一般,BIT*,96,210.628107263939,1.64469931800288
2000,一般,RRT#,100,210.571822377521,1.55908359857731
2000,一般,APF-only,100,229.358752665851,2.87102621016462e-14
2000,狭窄,AB-IRRT*,100,212.885243942151,8.61307863049385e-14
2000,狭窄,RRT*,100,227.374320548037,13.4187961164173
2000,狭窄,Informed-RRT*,100,228.347200609358,15.0004488430434
2000,狭窄,PRM*,100,225.333179540351,5.43699023899895
2000,狭窄,FMT*,100,247.37981195982,10.8962710076751
2000,狭窄,BIT*,50,235.47457147828,8.26353104215196
2000,狭窄,RRT#,100,225.473956942129,13.013976524127
2000,狭窄,APF-only,100,279.791130115633,5.74205242032923e-14
2000,广阔,AB-IRRT*,100,210.93196508351,1.60732693442965
2000,广阔,RRT*,100,228.80745240772,16.5233377760696
2000,广阔,Informed-RRT*,100,214.907606054501,9.32722790041453
2000,广阔,PRM*,100,215.198317810247,4.39383749535811
2000,广阔,FMT*,100,216.484599008414,4.35567009974284
2000,广阔,BIT*,100,209.471375352296,1.15696850927889
2000,广阔,RRT#,100,227.901765953277,15.773038485058
2000,广阔,APF-only,100,301.840641895898,0
