env,tag,goalBias,pbias,seedLen,meanL,stdL
general(y),R,0.08,0.5,231.428301318918,208.762818444644,0.2061313154995
general(y),1,0.08,0.5,209.21433887425,209.21433887425,0
general(y),2,0.15,0.5,209.21433887425,209.21433887425,0
general(y),3,0.08,0.25,209.21433887425,209.21433887425,0
general(y),4,0.15,0.25,209.21433887425,209.21433887425,0
expansive(g),R,0.08,0.5,305.467731905037,210.773490042839,3.06793933658121
expansive(g),1,0.08,0.5,221.226373504114,208.861987229957,0.214514117498767
expansive(g),2,0.15,0.5,221.226373504114,208.87493089207,0.298477662525655
expansive(g),3,0.08,0.25,221.226373504114,209.010431963557,0.311027520067762
expansive(g),4,0.15,0.25,221.226373504114,209.56033446935,2.17985283771836
