dim,scenario,algorithm,eps,target,runs,reached,medianTime,estExtensions,preExist,note
2d,一般,AB-IRRT*,0.02,209.610813045835,50,1,0.0060356,133.493627722952,0,
2d,一般,AB-IRRT*,0.05,209.610813045835,50,1,0.0058695,129.819876718117,0,
2d,一般,RRT*,0.02,209.610813045835,50,0.52,0.0797392,1343.87584795094,0.1,
2d,一般,RRT*,0.05,209.610813045835,50,0.94,0.0101515,171.087190120718,0.1,
2d,一般,Informed-RRT*,0.02,209.610813045835,50,0.88,0.0626225,1116.22978228863,0.02,
2d,一般,Informed-RRT*,0.05,209.610813045835,50,1,0.01216675,216.869155713364,0.02,
2d,一般,PRM*,0.02,209.610813045835,50,1,0.34971355,0,0,sample-to-time mapping not applicable
2d,一般,PRM*,0.05,209.610813045835,50,1,0.34971355,0,0,sample-to-time mapping not applicable
2d,一般,FMT*,0.02,209.610813045835,50,0.18,0.0248003,0,0.06,sample-to-time mapping not applicable
2d,一般,FMT*,0.05,209.610813045835,50,0.86,0.0180488,0,0.06,sample-to-time mapping not applicable
2d,一般,BIT*,0.02,209.610813045835,48,0.604166666666667,0.070176,76.7930590350219,0.375,
2d,一般,BIT*,0.05,209.610813045835,48,0.9375,0.0388994,42.5673153304111,0.375,
2d,一般,RRT#,0.02,209.610813045835,50,0.8,0.0317378,542.702906640559,0.04,
2d,一般,RRT#,0.05,209.610813045835,50,0.98,0.0097774,167.189389289346,0.04,
2d,狭窄,AB-IRRT*,0.02,212.885243942151,50,1,0.0093288,393.969273369775,1,history records only the final solution (time not comparable)
2d,狭窄,AB-IRRT*,0.05,212.885243942151,50,1,0.0093288,393.969273369775,1,history records only the final solution (time not comparable)
2d,狭窄,RRT*,0.02,212.885243942151,50,0.04,0.0860305,2180.50215078433,0.28,
2d,狭窄,RRT*,0.05,212.885243942151,50,0.34,0.0092735,235.043231124991,0.28,
2d,狭窄,Informed-RRT*,0.02,212.885243942151,50,0.18,0.0689646,2036.46926713376,0.2,
2d,狭窄,Informed-RRT*,0.05,212.885243942151,50,0.38,0.0155938,460.472393921379,0.2,
2d,狭窄,PRM*,0.02,212.885243942151,50,0,NaN,NaN,0,sample-to-time mapping not applicable
2d,狭窄,PRM*,0.05,212.885243942151,50,0.56,0.3147119,0,0,sample-to-time mapping not applicable
2d,狭窄,FMT*,0.02,212.885243942151,50,0,NaN,NaN,0.58,sample-to-time mapping not applicable
2d,狭窄,FMT*,0.05,212.885243942151,50,0,NaN,NaN,0.58,sample-to-time mapping not applicable
2d,狭窄,BIT*,0.02,212.885243942151,25,0,NaN,NaN,0.68,
2d,狭窄,BIT*,0.05,212.885243942151,25,0,NaN,NaN,0.68,
2d,狭窄,RRT#,0.02,212.885243942151,50,0.28,0.06987945,1541.21705142919,0.08,
2d,狭窄,RRT#,0.05,212.885243942151,50,0.62,0.0284636,627.775199505148,0.08,
2d,广阔,AB-IRRT*,0.02,209.471375352296,50,0.86,0.0357396,907.962306287669,0,
