dim,scenario,capTag,capSeconds,algorithm,run,seed,success,length,time,firstSolutionTime
2d,一般,1,0.09042529,RRT*,1,20261904,1,211.168906877292,0.1011514,0.0472427
2d,一般,1,0.09042529,Informed-RRT*,1,20261904,1,210.173923343601,0.1015278,0.0202736
2d,一般,1,0.09042529,PRM*,1,20261904,1,219.069139780528,0.1013724,0.0161238
2d,一般,1,0.09042529,FMT*,1,20261904,1,218.695625137044,0.1032142,0.0515463
2d,一般,1,0.09042529,BIT*,1,20261904,1,212.114231475439,0.104295,0.0352047
2d,一般,1,0.09042529,RRT#,1,20261904,1,210.24322592479,0.0965738,0.0279557
2d,一般,1,0.09042529,APF-only,1,20261904,1,229.358752665851,0.0386093,0.0312867
2d,一般,1,0.09042529,AB-IRRT*,1,20261904,1,210.168933388833,0.1097314,0.0111141
2d,一般,1,0.09042529,RRT*,2,20261905,1,212.859117752118,0.091997,0.0123775
2d,一般,1,0.09042529,Informed-RRT*,2,20261905,1,210.539531006151,0.0916074,0.0088972
2d,一般,1,0.09042529,PRM*,2,20261905,1,213.231765107084,0.0941423,0.0030656
2d,一般,1,0.09042529,FMT*,2,20261905,1,216.920986504559,0.0927759,0.0153862
2d,一般,1,0.09042529,BIT*,2,20261905,0,Inf,0.0937775,NaN
2d,一般,1,0.09042529,RRT#,2,20261905,1,211.64732318811,0.0928856,0.0167867
2d,一般,1,0.09042529,APF-only,2,20261905,1,229.358752665851,0.0026618,0.002233
2d,一般,1,0.09042529,AB-IRRT*,2,20261905,1,209.154295905905,0.0932966,0.003976
2d,一般,1,0.09042529,RRT*,3,20261906,1,215.829804797491,0.0912577,0.0076984
2d,一般,1,0.09042529,Informed-RRT*,3,20261906,1,212.993693811275,0.094761,0.0092991
2d,一般,1,0.09042529,PRM*,3,20261906,1,216.617604191455,0.0929238,0.0039913
2d,一般,1,0.09042529,FMT*,3,20261906,1,213.761534766052,0.0920509,0.0313215
2d,一般,1,0.09042529,BIT*,3,20261906,1,213.396082151574,0.0936351,0.0915945
2d,一般,1,0.09042529,RRT#,3,20261906,1,217.024488441671,0.0917996,0.0108089
2d,一般,1,0.09042529,APF-only,3,20261906,1,229.358752665851,0.0070251,0.0045306
2d,一般,1,0.09042529,AB-IRRT*,3,20261906,1,209.333904002027,0.096479,0.0026421
2d,一般,1,0.09042529,RRT*,4,20261907,1,214.12781248857,0.0914093,0.0050647
2d,一般,1,0.09042529,Informed-RRT*,4,20261907,1,212.441336006536,0.091888,0.0046123
2d,一般,1,0.09042529,PRM*,4,20261907,1,214.015742945715,0.0936186,0.0028446
2d,一般,1,0.09042529,FMT*,4,20261907,1,216.179539509295,0.0919509,0.0163812
2d,一般,1,0.09042529,BIT*,4,20261907,1,212.107604141854,0.0930423,0.0347566
2d,一般,1,0.09042529,RRT#,4,20261907,1,211.048001745453,0.0922104,0.0051698
2d,一般,1,0.09042529,APF-only,4,20261907,1,229.358752665851,0.0022966,0.0020254
2d,一般,1,0.09042529,AB-IRRT*,4,20261907,1,209.146602466337,0.0937743,0.0027854
2d,一般,1,0.09042529,RRT*,5,20261908,1,213.106264392107,0.0953063,0.006151
2d,一般,1,0.09042529,Informed-RRT*,5,20261908,1,212.628253209063,0.0911731,0.0104226
2d,一般,1,0.09042529,PRM*,5,20261908,1,215.229626668455,0.0985267,0.0015229
2d,一般,1,0.09042529,FMT*,5,20261908,1,214.686694731312,0.0965898,0.0069532
2d,一般,1,0.09042529,BIT*,5,20261908,1,211.764955431719,0.0978396,0.0275728
2d,一般,1,0.09042529,RRT#,5,20261908,1,209.634123098892,0.095573,0.0074922
2d,一般,1,0.09042529,APF-only,5,20261908,1,229.358752665851,0.0031814,0.002782
2d,一般,1,0.09042529,AB-IRRT*,5,20261908,1,209.266064726589,0.0973117,0.0043316
2d,一般,1,0.09042529,RRT*,6,20261909,1,210.786783141931,0.0914752,0.0118313
2d,一般,1,0.09042529,Informed-RRT*,6,20261909,1,210.432715820757,0.0907895,0.0118759
2d,一般,1,0.09042529,PRM*,6,20261909,1,212.040732737565,0.0937204,0.0018453
2d,一般,1,0.09042529,FMT*,6,20261909,1,213.6513381948,0.0965835,0.0318377
2d,一般,1,0.09042529,BIT*,6,20261909,1,213.6513381948,0.0954315,0.0839122
2d,一般,1,0.09042529,RRT#,6,20261909,1,210.439593981227,0.0921321,0.0124453
2d,一般,1,0.09042529,APF-only,6,20261909,1,229.358752665851,0.0029726,0.0028373
2d,一般,1,0.09042529,AB-IRRT*,6,20261909,1,208.901290929033,0.0919249,0.0018498
2d,一般,1,0.09042529,RRT*,7,20261910,1,218.162869867696,0.0921872,0.0064273
2d,一般,1,0.09042529,Informed-RRT*,7,20261910,1,211.328801246508,0.0910854,0.0074368
2d,一般,1,0.09042529,PRM*,7,20261910,1,218.063788452081,0.0923291,0.00243
2d,一般,1,0.09042529,FMT*,7,20261910,1,217.105123267659,0.0925617,0.0400772
2d,一般,1,0.09042529,BIT*,7,20261910,1,214.001907797222,0.1009926,0.090731
2d,一般,1,0.09042529,RRT#,7,20261910,1,211.7948190598,0.091033,0.0059851
2d,一般,1,0.09042529,APF-only,7,20261910,1,229.358752665851,0.0017055,0.0015824
2d,一般,1,0.09042529,AB-IRRT*,7,20261910,1,209.333253146828,0.0913254,0.0017025
2d,一般,1,0.09042529,RRT*,8,20261911,1,212.333130133761,0.0911359,0.0301532
2d,一般,1,0.09042529,Informed-RRT*,8,20261911,1,210.711581519582,0.0911151,0.0190717
2d,一般,1,0.09042529,PRM*,8,20261911,1,211.020099354196,0.09228,0.000655
2d,一般,1,0.09042529,FMT*,8,20261911,1,215.651214255891,0.0910607,0.0274112
2d,一般,1,0.09042529,BIT*,8,20261911,1,215.097386025188,0.092005,0.0347964
