dim,scenario,capTag,capSeconds,algorithm,runs,successRate,meanLength,stdLength,meanTime,meanFirstSol
2d,一般,1,0.09042529,RRT*,30,100,213.467682358642,2.55819084672436,0.09143327,0.01101502
2d,一般,1,0.09042529,Informed-RRT*,30,100,211.262281561922,2.07264372403503,0.0914277433333333,0.00963558666666667
2d,一般,1,0.09042529,PRM*,30,100,213.763121516012,3.0387373642317,0.0931064733333333,0.00356790666666667
2d,一般,1,0.09042529,FMT*,30,100,217.272570278412,6.56293711126741,0.0920356333333334,0.0183700266666667
2d,一般,1,0.09042529,BIT*,30,93.3333333333333,212.522286971912,2.21705505972638,0.0929403133333333,0.044149
2d,一般,1,0.09042529,RRT#,30,100,211.873270693189,3.30784989014756,0.0915478966666667,0.0113845466666667
2d,一般,1,0.09042529,APF-only,30,100,229.358752665851,0,0.00331227666666667,0.00285137
2d,一般,1,0.09042529,AB-IRRT*,30,100,209.362559387721,0.45631936595038,0.09219307,0.00225986666666667
2d,一般,2,0.18085058,RRT*,30,100,211.131341836216,1.41934141259541,0.181248726666667,0.00835511333333333
2d,一般,2,0.18085058,Informed-RRT*,30,100,209.389047890338,0.939251659097067,0.181328873333333,0.00862878
2d,一般,2,0.18085058,PRM*,30,100,211.981241587726,1.62196409745051,0.18501335,0.00303125
2d,一般,2,0.18085058,FMT*,30,100,217.272570278412,6.56293711126741,0.18173312,0.0151649333333333
2d,一般,2,0.18085058,BIT*,30,93.3333333333333,211.337983365444,1.69146853617096,0.182106223333333,0.0439623214285714
2d,一般,2,0.18085058,RRT#,30,100,209.65991475519,0.654677106544596,0.18153426,0.0109692666666667
2d,一般,2,0.18085058,APF-only,30,100,229.358752665851,0,0.00197664333333333,0.00185673333333333
2d,一般,2,0.18085058,AB-IRRT*,30,100,208.887649093553,0.253961439001,0.181426936666667,0.00179119333333333
2d,狭窄,1,0.047358008,RRT*,30,100,228.974148086155,11.9321499286662,0.04773111,0.0117365066666667
2d,狭窄,1,0.047358008,Informed-RRT*,30,100,228.576890226619,13.4290966269666,0.0478318833333333,0.0114210966666667
2d,狭窄,1,0.047358008,PRM*,30,96.6666666666667,234.23646981365,9.51291135459831,0.0487556966666667,0.00867824137931034
2d,狭窄,1,0.047358008,FMT*,30,86.6666666666667,247.754175885653,11.863114805955,0.0481711633333333,0.0185031230769231
2d,狭窄,1,0.047358008,BIT*,30,50,241.45343569637,10.0591601939306,0.0486176333333333,0.0370073533333333
2d,狭窄,1,0.047358008,RRT#,30,100,228.896423409932,12.7924986162335,0.0478870433333333,0.01468377
2d,狭窄,1,0.047358008,APF-only,30,100,279.791130115633,0,0.00925996,0.00910258333333333
2d,狭窄,1,0.047358008,AB-IRRT*,30,100,212.885243942151,1.44537929064543e-13,0.0480627866666667,0.00982821666666667
2d,狭窄,2,0.094716016,RRT*,30,100,224.356225700069,9.99977805613748,0.0950605633333333,0.0121399933333333
2d,狭窄,2,0.094716016,Informed-RRT*,30,100,224.74895226252,12.1028132813054,0.0951294833333333,0.0120578666666667
2d,狭窄,2,0.094716016,PRM*,30,100,230.987063970719,7.36782398420369,0.09682291,0.0112362133333333
2d,狭窄,2,0.094716016,FMT*,30,100,245.365122464069,12.7030811369451,0.09556692,0.0237394133333333
2d,狭窄,2,0.094716016,BIT*,30,50,236.398168670587,8.46297035526689,0.0957620333333333,0.0446150133333333
2d,狭窄,2,0.094716016,RRT#,30,100,223.941857702763,10.3310821412279,0.09533714,0.0150206666666667
2d,狭窄,2,0.094716016,APF-only,30,100,279.791130115633,0,0.00897605,0.00884568333333333
2d,狭窄,2,0.094716016,AB-IRRT*,30,100,212.851816160305,0.107644592907566,0.09528697,0.00936609666666667
2d,广阔,1,0.078724854,RRT*,30,100,230.97879942222,17.2104646580361,0.0790932833333333,0.00711019333333333
2d,广阔,1,0.078724854,Informed-RRT*,30,100,218.573728371379,10.3367702633483,0.0791594666666667,0.00759986
2d,广阔,1,0.078724854,PRM*,30,100,221.965248229547,7.03803004075905,0.08045034,0.000588666666666667
2d,广阔,1,0.078724854,FMT*,30,100,217.538232837511,7.48525908680858,0.0795479766666667,0.00614187333333333
2d,广阔,1,0.078724854,BIT*,30,100,214.307387488997,8.59096891365513,0.0810186566666667,0.0253940433333333
2d,广阔,1,0.078724854,RRT#,30,100,230.710415829932,16.5404334735823,0.0792999533333333,0.00829653666666667
2d,广阔,1,0.078724854,APF-only,30,100,301.840641895898,5.78151716258171e-14,0.00241118666666667,0.00229548
2d,广阔,1,0.078724854,AB-IRRT*,30,100,210.09141257039,1.00538318945359,0.07934661,0.00262067
2d,广阔,2,0.157449708,RRT*,30,100,226.038288548092,13.0224285304551,0.157809476666667,0.00716683666666667
2d,广阔,2,0.157449708,Informed-RRT*,30,100,211.865365284456,5.30104894700494,0.157880296666667,0.00713109333333333
2d,广阔,2,0.157449708,PRM*,30,100,217.359465645111,5.55832672736798,0.160679083333333,0.000603813333333333
2d,广阔,2,0.157449708,FMT*,30,100,215.516813675853,3.42048240581787,0.158419576666667,0.00676044666666667
2d,广阔,2,0.157449708,BIT*,30,100,212.203970863708,4.88811075396448,0.159587453333333,0.0225960933333333
2d,广阔,2,0.157449708,RRT#,30,100,225.854238698328,13.0379222581356,0.158022253333333,0.00840918666666666
2d,广阔,2,0.157449708,APF-only,30,100,301.840641895898,5.78151716258171e-14,0.00227145333333333,0.00215144333333333
2d,广阔,2,0.157449708,AB-IRRT*,30,100,209.295991726064,0.928237846990514,0.157996806666667,0.00252642
3d,一般,1,0.481353134,RRT*,30,100,286.714084900691,10.6356860669976,0.482234683333333,0.0144478
3d,一般,1,0.481353134,Informed-RRT*,30,100,281.548357141485,7.78674128916481,0.48236905,0.01474609
3d,一般,1,0.481353134,PRM*,30,100,282.976567891529,5.07059681624562,0.49020432,0.00130121666666667
3d,一般,1,0.481353134,FMT*,30,100,282.353151046694,6.19929270435471,0.482602876666667,0.0209881433333333
3d,一般,1,0.481353134,BIT*,30,100,279.227048651561,15.5694871662268,0.483056343333333,0.0608558133333333
3d,一般,1,0.481353134,RRT#,30,100,284.111209919399,8.49614383423416,0.48216729,0.0151334333333333
3d,一般,1,0.481353134,APF-only,30,100,442.385244950109,1.15630343251634e-13,0.00832253,0.00778815666666667
3d,一般,1,0.481353134,AB-IRRT*,30,100,265.490064128491,1.66562090738197,0.483016073333333,0.00740614
3d,一般,2,0.962706268,RRT*,30,100,282.591303427429,6.16200122284413,0.963193183333333,0.0126709733333333
3d,一般,2,0.962706268,Informed-RRT*,30,100,277.217588299308,5.98910804326719,0.96323135,0.0135071866666667
3d,一般,2,0.962706268,PRM*,30,100,279.139302264136,5.09272678329663,0.98643609,0.00137791333333333
3d,一般,2,0.962706268,FMT*,30,100,282.353151046694,6.19929270435471,0.964139903333333,0.0203057166666667
3d,一般,2,0.962706268,BIT*,30,100,277.957771040317,14.6535701222971,0.96431286,0.05736808
3d,一般,2,0.962706268,RRT#,30,100,280.028676161242,4.87120456381082,0.963600153333333,0.0146282566666667
3d,一般,2,0.962706268,APF-only,30,100,442.385244950109,1.15630343251634e-13,0.00591413333333333,0.00576514
3d,一般,2,0.962706268,AB-IRRT*,30,100,264.339509383465,1.45568762608396,0.963558903333333,0.00656822
3d,狭窄,1,0.817403694,RRT*,30,100,262.537861693361,5.62246170978781,0.81780251,0.02087304
3d,狭窄,1,0.817403694,Informed-RRT*,30,100,258.373485719157,5.45794720947258,0.817827423333333,0.0206638266666667
3d,狭窄,1,0.817403694,PRM*,30,100,260.894389699489,2.54885661177476,0.831541826666667,0.00519488666666667
3d,狭窄,1,0.817403694,FMT*,30,100,284.497151905661,22.9975047076798,0.818698603333333,0.02588645
3d,狭窄,1,0.817403694,BIT*,30,90,273.371667018607,16.443164699392,0.819197516666667,0.0881769333333334
3d,狭窄,1,0.817403694,RRT#,30,100,259.034928274655,4.88311732220903,0.81819233,0.0243354633333333
3d,狭窄,1,0.817403694,APF-only,30,100,323.571846627543,0,0.00492388,0.00477152333333333
3d,狭窄,1,0.817403694,AB-IRRT*,30,100,247.394858505718,0.572024911732768,0.818289896666667,0.00520356666666667
3d,狭窄,2,1.634807388,RRT*,30,100,258.165621755902,3.19242791590503,1.63524739333333,0.02112033
3d,狭窄,2,1.634807388,Informed-RRT*,30,100,252.998418711434,3.08626952749861,1.63528852,0.02176522
3d,狭窄,2,1.634807388,PRM*,30,100,259.204177829702,2.15675731231844,1.67506893,0.00541017
3d,狭窄,2,1.634807388,FMT*,30,100,284.497151905661,22.9975047076798,1.63606225333333,0.02591187
3d,狭窄,2,1.634807388,BIT*,30,90,272.513617165021,16.5109304917749,1.63648141666667,0.0879747074074074
3d,狭窄,2,1.634807388,RRT#,30,100,254.932987284521,2.71346401652537,1.63574367333333,0.0224103433333333
3d,狭窄,2,1.634807388,APF-only,30,100,323.571846627543,0,0.00455730333333333,0.00442604666666667
3d,狭窄,2,1.634807388,AB-IRRT*,30,100,246.872807419946,0.374291811899213,1.63548381666667,0.00499223333333333
3d,悬空,1,0.814563222,RRT*,30,100,286.657579403605,8.55353577144282,0.81493731,0.0110270366666667
