dim,scenario,algorithm,run,firstLen
2d,一般,RRT*,1,212.287196977876
2d,一般,Informed-RRT*,1,212.287196977876
2d,一般,PRM*,1,245.040726060397
2d,一般,FMT*,1,218.695625137044
2d,一般,BIT*,1,215.600281684378
2d,一般,RRT#,1,212.137768400582
2d,一般,AB-IRRT*,1,229.358752665851
2d,一般,RRT*,2,219.528030254556
2d,一般,Informed-RRT*,2,219.528030254556
2d,一般,PRM*,2,242.640109979682
2d,一般,FMT*,2,264.601776557253
2d,一般,RRT#,2,216.415001005241
2d,一般,AB-IRRT*,2,229.358752665851
2d,一般,RRT*,3,224.530380602088
2d,一般,Informed-RRT*,3,224.530380602088
2d,一般,PRM*,3,235.41128310812
2d,一般,FMT*,3,218.213180421964
2d,一般,BIT*,3,213.396082151574
2d,一般,RRT#,3,222.241641316835
2d,一般,AB-IRRT*,3,229.358752665851
2d,一般,RRT*,4,221.926533016789
2d,一般,Informed-RRT*,4,221.926533016789
2d,一般,PRM*,4,266.082716801003
2d,一般,FMT*,4,241.712592269712
2d,一般,BIT*,4,226.214641114853
2d,一般,RRT#,4,219.858128802598
2d,一般,AB-IRRT*,4,229.358752665851
2d,一般,RRT*,5,216.776426724237
2d,一般,Informed-RRT*,5,216.776426724237
2d,一般,PRM*,5,267.253666689351
2d,一般,FMT*,5,252.013649357252
2d,一般,BIT*,5,213.211425601077
2d,一般,RRT#,5,216.182982567301
2d,一般,AB-IRRT*,5,229.358752665851
2d,一般,RRT*,6,215.482770294682
2d,一般,Informed-RRT*,6,215.482770294682
2d,一般,PRM*,6,272.421549999568
2d,一般,FMT*,6,231.674426964276
2d,一般,BIT*,6,213.6513381948
2d,一般,RRT#,6,213.403345985108
2d,一般,AB-IRRT*,6,229.358752665851
2d,一般,RRT*,7,223.585039799344
2d,一般,Informed-RRT*,7,223.585039799344
2d,一般,PRM*,7,280.910556309143
2d,一般,FMT*,7,232.633787391977
2d,一般,BIT*,7,214.001907797222
2d,一般,RRT#,7,222.09785302969
2d,一般,AB-IRRT*,7,229.358752665851
2d,一般,RRT*,8,215.725116611041
2d,一般,Informed-RRT*,8,215.725116611041
2d,一般,PRM*,8,290.897115996553
2d,一般,FMT*,8,215.722293219893
2d,一般,BIT*,8,215.722293219893
2d,一般,RRT#,8,212.989862656912
2d,一般,AB-IRRT*,8,229.358752665851
2d,一般,RRT*,9,220.633599869349
2d,一般,Informed-RRT*,9,220.633599869349
2d,一般,PRM*,9,235.773970757199
2d,一般,FMT*,9,249.467369300418
2d,一般,BIT*,9,213.016731413204
2d,一般,RRT#,9,218.09193027979
2d,一般,AB-IRRT*,9,229.358752665851
2d,一般,RRT*,10,215.313207366455
2d,一般,Informed-RRT*,10,215.313207366455
2d,一般,PRM*,10,285.503126701709
2d,一般,FMT*,10,257.03583399268
2d,一般,BIT*,10,213.510699071269
2d,一般,RRT#,10,214.494872184444
2d,一般,AB-IRRT*,10,229.358752665851
2d,一般,RRT*,11,233.564692858054
2d,一般,Informed-RRT*,11,233.564692858054
2d,一般,PRM*,11,224.165124766701
2d,一般,FMT*,11,284.947909099588
2d,一般,BIT*,11,215.860043291877
2d,一般,RRT#,11,230.284577639547
2d,一般,AB-IRRT*,11,229.358752665851
2d,一般,RRT*,12,218.09232916691
2d,一般,Informed-RRT*,12,218.09232916691
2d,一般,PRM*,12,255.604698544537
2d,一般,FMT*,12,259.210533901035
2d,一般,BIT*,12,247.469379777722
2d,一般,RRT#,12,217.093799163166
2d,一般,AB-IRRT*,12,229.358752665851
2d,一般,RRT*,13,222.774198074639
2d,一般,Informed-RRT*,13,222.774198074639
2d,一般,PRM*,13,220.50405085162
2d,一般,FMT*,13,245.871471207269
2d,一般,BIT*,13,214.695806798353
2d,一般,RRT#,13,220.687798796155
2d,一般,AB-IRRT*,13,229.358752665851
2d,一般,RRT*,14,237.962772919832
2d,一般,Informed-RRT*,14,237.962772919832
2d,一般,PRM*,14,268.61324359684
2d,一般,FMT*,14,227.336155024813
2d,一般,BIT*,14,220.124844436139
2d,一般,RRT#,14,235.359331616679
2d,一般,AB-IRRT*,14,229.358752665851
2d,一般,RRT*,15,228.38285086293
2d,一般,Informed-RRT*,15,228.38285086293
2d,一般,PRM*,15,220.811592017541
2d,一般,FMT*,15,232.900801909307
2d,一般,BIT*,15,260.365447958737
2d,一般,RRT#,15,227.514396291545
2d,一般,AB-IRRT*,15,229.358752665851
2d,一般,RRT*,16,216.001503770229
2d,一般,Informed-RRT*,16,216.001503770229
2d,一般,PRM*,16,263.657544012427
2d,一般,FMT*,16,212.986018307963
2d,一般,BIT*,16,212.986018307963
2d,一般,RRT#,16,211.805559896093
2d,一般,AB-IRRT*,16,229.358752665851
2d,一般,RRT*,17,228.732046599919
2d,一般,Informed-RRT*,17,228.732046599919
2d,一般,PRM*,17,223.392667855608
2d,一般,FMT*,17,227.102094670277
2d,一般,BIT*,17,215.187596359002
2d,一般,RRT#,17,222.661835937139
2d,一般,AB-IRRT*,17,229.358752665851
2d,一般,RRT*,18,226.39065047598
2d,一般,Informed-RRT*,18,226.39065047598
2d,一般,PRM*,18,246.51515361237
2d,一般,FMT*,18,246.557395544052
2d,一般,BIT*,18,213.805504280262
2d,一般,RRT#,18,222.951914733904
2d,一般,AB-IRRT*,18,229.358752665851
2d,一般,RRT*,19,226.681251490058
2d,一般,Informed-RRT*,19,226.681251490058
2d,一般,PRM*,19,228.12178277708
2d,一般,FMT*,19,230.222311932553
2d,一般,BIT*,19,216.999364648052
2d,一般,RRT#,19,224.058914235634
2d,一般,AB-IRRT*,19,229.358752665851
2d,一般,RRT*,20,214.15424656179
2d,一般,Informed-RRT*,20,214.15424656179
