dim,scenario,algorithm,runs,meanFirstLen,stdFirstLen,medianFirstLen
2d,一般,AB-IRRT*,50,229.358752665851,2.87102621016462e-14,229.358752665851
2d,一般,RRT*,50,221.386348388829,8.47530283524551,219.609117740402
2d,一般,Informed-RRT*,50,221.386348388829,8.47530283524551,219.609117740402
2d,一般,PRM*,50,256.377395992238,30.809982341688,246.865082487285
2d,一般,FMT*,50,237.331103705765,17.035689466919,232.990900321641
2d,一般,BIT*,48,219.790154076892,9.83891701206226,215.725521576829
2d,一般,RRT#,50,219.06734905351,7.51363111155741,216.871970626207
2d,一般,APF-only,0,NaN,0,NaN
2d,狭窄,AB-IRRT*,50,212.885243942151,8.61307863049385e-14,212.885243942151
2d,狭窄,RRT*,50,238.945394503128,18.1230344367433,232.211607715493
2d,狭窄,Informed-RRT*,50,238.945394503128,18.1230344367433,232.211607715493
2d,狭窄,PRM*,50,258.876843557347,34.8498725099962,246.592381156186
2d,狭窄,FMT*,50,250.808756993877,12.7806039301477,252.502458742629
2d,狭窄,BIT*,25,245.594527307377,9.8345568155732,247.477787800264
2d,狭窄,RRT#,50,236.269343612381,17.1542225615479,228.915888021213
2d,狭窄,APF-only,0,NaN,0,NaN
2d,广阔,AB-IRRT*,50,221.226373504114,0,221.226373504114
2d,广阔,RRT*,50,235.559369131907,18.3287369893746,230.881270581742
2d,广阔,Informed-RRT*,50,235.559369131907,18.3287369893746,230.881270581742
2d,广阔,PRM*,50,334.608422628217,58.7061402313177,318.888783233916
2d,广阔,FMT*,50,265.31891776577,23.1211056941094,264.718035772891
2d,广阔,BIT*,50,237.551034679207,16.5884482882863,239.675022498346
2d,广阔,RRT#,50,234.858088343001,17.7819622402192,230.374546046588
2d,广阔,APF-only,0,NaN,0,NaN
3d,一般,AB-IRRT*,50,276.853248435528,5.74205242032923e-14,276.853248435528
3d,一般,RRT*,50,299.759956704574,24.9600924867881,291.201607461639
3d,一般,Informed-RRT*,50,299.759956704574,24.9600924867881,291.201607461639
3d,一般,PRM*,50,381.024093481949,68.2712252142182,365.34829719324
3d,一般,FMT*,50,382.961621575087,51.7583713699445,386.54095890638
3d,一般,BIT*,50,334.999201201763,36.2495808986623,334.488723584672
3d,一般,RRT#,50,299.491591125321,24.6552880433248,290.919343261035
3d,一般,APF-only,0,NaN,0,NaN
3d,狭窄,AB-IRRT*,50,248.081522405792,2.87102621016462e-14,248.081522405792
3d,狭窄,RRT*,50,278.456862574346,15.5646988559408,274.4458362311
3d,狭窄,Informed-RRT*,50,278.456862574346,15.5646988559408,274.4458362311
3d,狭窄,PRM*,50,324.296197893612,42.5829259252811,319.1269650137
3d,狭窄,FMT*,50,317.507958575761,49.3982036540589,302.085465547263
3d,狭窄,BIT*,34,291.15459193454,31.4652497307075,285.005787628584
3d,狭窄,RRT#,50,277.791096632962,15.4324155952024,273.34095726572
3d,狭窄,APF-only,0,NaN,0,NaN
3d,悬空,AB-IRRT*,50,265.958950138078,5.74205242032923e-14,265.958950138078
3d,悬空,RRT*,50,295.158237728252,15.7631055405395,291.858377132095
3d,悬空,Informed-RRT*,50,295.158237728252,15.7631055405395,291.858377132095
3d,悬空,PRM*,50,365.370686452657,53.1420284521939,353.411706566331
3d,悬空,FMT*,50,343.39844432256,44.5499178659566,340.674146369572
3d,悬空,BIT*,50,294.50523317673,16.4831974141513,291.870129386146
3d,悬空,RRT#,50,294.956598310033,15.7324155405979,291.777117945855
3d,悬空,APF-only,0,NaN,0,NaN
3d,环廊,AB-IRRT*,50,178.149897243594,0,178.149897243594
3d,环廊,RRT*,50,200.427238190366,12.1918340694391,199.535677089316
3d,环廊,Informed-RRT*,50,200.427238190366,12.1918340694391,199.535677089316
3d,环廊,PRM*,50,276.763177979629,51.7014851711196,271.943619708351
3d,环廊,FMT*,50,265.046354211131,33.8542380562508,262.225695311324
3d,环廊,BIT*,50,232.563486656181,20.3338299369064,228.813297966362
3d,环廊,RRT#,50,200.112082499826,12.0018963850522,199.535677089316
3d,环廊,APF-only,0,NaN,0,NaN
3d,悬挑,AB-IRRT*,50,255.732852443965,2.87102621016462e-14,255.732852443965
3d,悬挑,RRT*,50,273.199185557395,9.49540279318205,270.674669932768
3d,悬挑,Informed-RRT*,50,273.199185557395,9.49540279318205,270.674669932768
3d,悬挑,PRM*,50,340.005288673315,50.2190960399513,330.859317177146
3d,悬挑,FMT*,50,326.056247404955,39.0953804177,327.186366575846
3d,悬挑,BIT*,50,277.09617516844,14.3582471479333,273.686396553275
3d,悬挑,RRT#,50,273.022363996799,9.44068611793722,270.306041294123
3d,悬挑,APF-only,0,NaN,0,NaN
