dim,scenario,algorithm,AB_mean,alg_mean,cliffs_delta,p
2d,一般,RRT*,229.358752665851,221.386348388829,0.76,9.99900009999e-05
2d,一般,Informed-RRT*,229.358752665851,221.386348388829,0.76,9.99900009999e-05
2d,一般,PRM*,229.358752665851,256.377395992238,-0.52,9.99900009999e-05
2d,一般,FMT*,229.358752665851,237.331103705765,-0.28,0.0003999600039996
2d,一般,BIT*,229.358752665851,219.790154076892,0.791666666666667,9.99900009999e-05
2d,一般,RRT#,229.358752665851,219.06734905351,0.84,9.99900009999e-05
2d,狭窄,RRT*,212.885243942151,238.945394503128,-1,9.99900009999e-05
2d,狭窄,Informed-RRT*,212.885243942151,238.945394503128,-1,9.99900009999e-05
2d,狭窄,PRM*,212.885243942151,258.876843557347,-1,9.99900009999e-05
2d,狭窄,FMT*,212.885243942151,250.808756993877,-1,9.99900009999e-05
2d,狭窄,BIT*,212.885243942151,245.594527307377,-1,9.99900009999e-05
2d,狭窄,RRT#,212.885243942151,236.269343612381,-1,9.99900009999e-05
2d,广阔,RRT*,221.226373504114,235.559369131907,-0.48,9.99900009999e-05
2d,广阔,Informed-RRT*,221.226373504114,235.559369131907,-0.48,9.99900009999e-05
2d,广阔,PRM*,221.226373504114,334.608422628217,-1,9.99900009999e-05
2d,广阔,FMT*,221.226373504114,265.31891776577,-1,9.99900009999e-05
2d,广阔,BIT*,221.226373504114,237.551034679207,-0.56,9.99900009999e-05
2d,广阔,RRT#,221.226373504114,234.858088343001,-0.48,9.99900009999e-05
3d,一般,RRT*,276.853248435528,299.759956704574,-0.92,9.99900009999e-05
3d,一般,Informed-RRT*,276.853248435528,299.759956704574,-0.92,9.99900009999e-05
3d,一般,PRM*,276.853248435528,381.024093481949,-1,9.99900009999e-05
3d,一般,FMT*,276.853248435528,382.961621575087,-1,9.99900009999e-05
3d,一般,BIT*,276.853248435528,334.999201201763,-1,9.99900009999e-05
3d,一般,RRT#,276.853248435528,299.491591125321,-0.92,9.99900009999e-05
3d,狭窄,RRT*,248.081522405792,278.456862574346,-1,9.99900009999e-05
3d,狭窄,Informed-RRT*,248.081522405792,278.456862574346,-1,9.99900009999e-05
3d,狭窄,PRM*,248.081522405792,324.296197893612,-1,9.99900009999e-05
3d,狭窄,FMT*,248.081522405792,317.507958575761,-1,9.99900009999e-05
3d,狭窄,BIT*,248.081522405792,291.15459193454,-1,9.99900009999e-05
3d,狭窄,RRT#,248.081522405792,277.791096632962,-1,9.99900009999e-05
3d,悬空,RRT*,265.958950138078,295.158237728252,-1,9.99900009999e-05
3d,悬空,Informed-RRT*,265.958950138078,295.158237728252,-1,9.99900009999e-05
3d,悬空,PRM*,265.958950138078,365.370686452657,-1,9.99900009999e-05
3d,悬空,FMT*,265.958950138078,343.39844432256,-1,9.99900009999e-05
3d,悬空,BIT*,265.958950138078,294.50523317673,-1,9.99900009999e-05
3d,悬空,RRT#,265.958950138078,294.956598310033,-1,9.99900009999e-05
3d,环廊,RRT*,178.149897243594,200.427238190366,-1,9.99900009999e-05
3d,环廊,Informed-RRT*,178.149897243594,200.427238190366,-1,9.99900009999e-05
3d,环廊,PRM*,178.149897243594,276.763177979629,-1,9.99900009999e-05
3d,环廊,FMT*,178.149897243594,265.046354211131,-1,9.99900009999e-05
3d,环廊,BIT*,178.149897243594,232.563486656181,-1,9.99900009999e-05
3d,环廊,RRT#,178.149897243594,200.112082499825,-1,9.99900009999e-05
3d,悬挑,RRT*,255.732852443965,273.199185557396,-1,9.99900009999e-05
3d,悬挑,Informed-RRT*,255.732852443965,273.199185557396,-1,9.99900009999e-05
3d,悬挑,PRM*,255.732852443965,340.005288673315,-1,9.99900009999e-05
3d,悬挑,FMT*,255.732852443965,326.056247404955,-1,9.99900009999e-05
3d,悬挑,BIT*,255.732852443965,277.09617516844,-1,9.99900009999e-05
3d,悬挑,RRT#,255.732852443965,273.022363996799,-1,9.99900009999e-05
