scene,algorithm,meanLength,meanTime_ms,successRate
2-D general,AB-IRRT*,209.610813045835,90.42529,100
2-D general,RRT*,212.123613392789,118.670486,100
2-D general,Informed-RRT*,210.239115839128,112.2036,100
2-D general,PRM*,211.178373133122,353.14787,100
2-D general,FMT*,217.029777354868,116.457322,100
2-D general,BIT*,210.628107263939,1827.66517916667,96
2-D general,RRT#,210.571822377521,116.961968,100
2-D general,APF-only,229.358752665851,2.622032,100
2-D narrow,AB-IRRT*,212.885243942151,47.358008,100
2-D narrow,RRT*,227.374320548037,78.908888,100
2-D narrow,Informed-RRT*,228.347200609358,67.729576,100
2-D narrow,PRM*,225.333179540351,327.935458,100
2-D narrow,FMT*,247.37981195982,476.574034,100
2-D narrow,BIT*,235.47457147828,1123.559092,50
2-D narrow,RRT#,225.473956942129,90.680868,100
2-D narrow,APF-only,279.791130115633,8.850932,100
2-D expansive,AB-IRRT*,210.93196508351,78.724854,100
2-D expansive,RRT*,228.807452407721,74.39922,100
2-D expansive,Informed-RRT*,214.907606054501,104.321494,100
2-D expansive,PRM*,215.198317810247,341.548972,100
2-D expansive,FMT*,216.484599008414,65.035092,100
2-D expansive,BIT*,209.471375352296,24065.812916,100
2-D expansive,RRT#,227.901765953277,82.92707,100
2-D expansive,APF-only,301.840641895898,2.079948,100
3-D general,AB-IRRT*,266.103274400201,481.353134,100
3-D general,RRT*,288.429847196007,544.208498,100
3-D general,Informed-RRT*,286.971979000671,503.551396,100
3-D general,PRM*,277.011620720292,1878.62187,100
3-D general,FMT*,283.050771070228,465.262742,100
3-D general,BIT*,275.660181659259,11111.028954,100
3-D general,RRT#,285.219823747281,555.541052,100
3-D general,APF-only,442.385244950109,6.44557,100
3-D narrow,AB-IRRT*,247.962772577464,817.403694,100
3-D narrow,RRT*,264.504756648914,1179.469968,100
3-D narrow,Informed-RRT*,264.151282100066,875.635658,100
3-D narrow,PRM*,258.512812459126,3690.869356,100
3-D narrow,FMT*,281.247149402297,4147.592866,100
3-D narrow,BIT*,267.763499208698,10515.9648176471,68
3-D narrow,RRT#,260.548217645269,1077.0284,100
3-D narrow,APF-only,323.571846627543,8.846744,100
3-D suspended,AB-IRRT*,263.327807373936,814.563222,100
3-D suspended,RRT*,286.825332760097,826.769468,100
3-D suspended,Informed-RRT*,281.881988167649,813.874732,100
3-D suspended,PRM*,275.097695152561,2587.070604,100
3-D suspended,FMT*,272.608518355586,235.662376,100
3-D suspended,BIT*,266.511338051747,107727.094512,100
3-D suspended,RRT#,285.204203126114,779.904766,100
3-D suspended,APF-only,368.719651450309,6.397788,100
3-D ring,AB-IRRT*,174.625469255824,1001.59533,100
3-D ring,RRT*,187.561768082912,1201.299482,100
3-D ring,Informed-RRT*,177.86248352612,1258.709096,100
3-D ring,PRM*,185.864949328068,3681.784554,100
3-D ring,FMT*,213.093720035129,5730.871248,100
3-D ring,BIT*,195.089637134822,63068.817348,100
3-D ring,RRT#,186.541688403567,1073.307866,100
3-D ring,APF-only,235.942780406757,5.9782,100
3-D overhang,AB-IRRT*,250.148772824973,784.944336,100
3-D overhang,RRT*,266.420739947508,754.596806,100
3-D overhang,Informed-RRT*,260.534792797101,792.636238,100
3-D overhang,PRM*,260.881062346611,2341.906838,100
3-D overhang,FMT*,259.467223075433,315.683846,100
3-D overhang,BIT*,253.619399839044,116786.30946,100
3-D overhang,RRT#,264.617885200581,732.974074,100
3-D overhang,APF-only,323.969580313845,5.39997,100
