dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,一般,APF-only,1,20261904,1,229.358753,0.097837,0.077163,0.097837,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,1,20261904,1,208.929869,0.247723,0.012894,0.196212,0.003286,0.012894,0.212416,1363.0,2000.0,0.612369,0.567420,0.974713,1.0,5.0,0
2d,一般,APF-only,2,20261905,1,229.358753,0.003832,0.002913,0.003832,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,2,20261905,1,208.555537,0.146272,0.003196,0.138863,0.001314,0.003196,0.142143,1332.0,2000.0,0.576791,0.040146,0.976463,1.0,5.0,0
2d,一般,APF-only,3,20261906,1,229.358753,0.008566,0.005749,0.008566,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,3,20261906,1,208.830173,0.131633,0.006491,0.120491,0.001028,0.006491,0.123242,1366.0,2000.0,0.606031,0.121741,0.975179,1.0,5.0,0
2d,一般,APF-only,4,20261907,1,229.358753,0.001959,0.001679,0.001959,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,4,20261907,1,208.514039,0.099932,0.002166,0.095053,0.000193,0.002166,0.095884,1286.0,2000.0,0.600703,0.059075,0.976657,1.0,5.0,0
2d,一般,APF-only,5,20261908,1,229.358753,0.002255,0.001695,0.002255,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,5,20261908,1,208.970246,0.128261,0.005989,0.109614,0.000961,0.005989,0.115778,1304.0,2000.0,0.632438,0.128536,0.974525,1.0,5.0,0
