scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
一般,RRT*,1,20261904,1,211.402514695408,0.0326194,0.0058455,0.0324168,0,NaN,NaN,571,750,3.74095972392246,1,0.96331282187037,NaN,NaN,0
一般,Informed-RRT*,1,20261904,1,210.5364061899,0.0320225,0.0056974,0.0310095,0,NaN,NaN,509,750,3.59057864029125,0.563636209743226,0.967275715716549,NaN,NaN,0
一般,PRM*,1,20261904,1,219.069139780528,0.0941849,0.0008002,0.09366,0,NaN,NaN,752,750,2.25578838195919,0.11620742072168,0.929600368110939,NaN,NaN,0
一般,FMT*,1,20261904,1,218.695625137044,0.0356423,0.011927,0.0350203,0,NaN,NaN,752,750,2.12259191562196,0.0533733262349632,0.931188051220101,NaN,NaN,0
一般,BIT*,1,20261904,1,211.366714055924,0.2038304,0.0166264,0.20313,0,NaN,NaN,397,750,3.37148097070577,0.054531223360776,0.96347598481303,NaN,NaN,0
一般,RRT#,1,20261904,1,210.487935829646,0.033368,0.0063823,0.0327826,0,NaN,NaN,571,750,2.8435312463167,1,0.967498456284653,NaN,NaN,0
一般,APF-only,1,20261904,1,229.358752665851,0.0031775,0.0030321,0.0031775,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,1,20261904,1,211.061601925706,0.0294168,0.0024457,0.0242142,0,0.0024457,0.0249187,519,750,3.04164418904472,1,0.964868792445772,1,5,0
一般,RRT*,2,20261905,1,214.493471044883,0.0236427,0.0062722,0.0235406,0,NaN,NaN,564,750,5.88040397880938,0.125301218813631,0.949431010602241,NaN,NaN,0
一般,Informed-RRT*,2,20261905,1,212.636320679396,0.0293686,0.0071676,0.0291281,0,NaN,NaN,534,750,5.39423021596018,0.816324106339042,0.957723272915241,NaN,NaN,0
一般,PRM*,2,20261905,1,212.969071341736,0.0932588,0.000615,0.0931577,0,NaN,NaN,752,750,3.85062540091071,0.12755930993475,0.956226891063201,NaN,NaN,0
一般,FMT*,2,20261905,1,216.920986504559,0.0577473,0.0134098,0.0576335,0,NaN,NaN,752,750,4.29535483146753,0.227151933842935,0.938806135188981,NaN,NaN,0
一般,BIT*,2,20261905,0,Inf,0.3554407,NaN,0.3539893,0,NaN,NaN,621,750,NaN,NaN,NaN,NaN,NaN,0
一般,RRT#,2,20261905,1,213.733052941313,0.0323487,0.0087262,0.0321968,0,NaN,NaN,564,750,4.66964110927509,0.119133292683284,0.952808890245174,NaN,NaN,0
一般,APF-only,2,20261905,1,229.358752665851,0.0033664,0.003244,0.0033664,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,2,20261905,1,210.293085002812,0.0329792,0.0019404,0.0307702,0,0.0019404,0.0309299,520,750,2.84626833403298,0.0241691282183503,0.968394909319069,1,5,0
一般,RRT*,3,20261906,1,219.233299561829,0.032027,0.0096495,0.0319106,0,NaN,NaN,565,750,5.86627661586194,0.0421484855046597,0.928904292316653,NaN,NaN,0
一般,Informed-RRT*,3,20261906,1,220.399763289557,0.0281547,0.007798,0.0279981,0,NaN,NaN,497,750,5.6595211249361,0.0490896173529372,0.923988074860945,NaN,NaN,0
一般,PRM*,3,20261906,1,216.617604191455,0.109947,0.0003914,0.109843,0,NaN,NaN,752,750,2.29528030216376,1,0.940120973740136,NaN,NaN,0
一般,FMT*,3,20261906,1,213.761534766052,0.0444473,0.0231385,0.0443023,0,NaN,NaN,752,750,3.10516975239723,0.051577792587997,0.952681936928474,NaN,NaN,0
一般,BIT*,3,20261906,1,209.666113333237,0.2064711,0.0867295,0.2062994,0,NaN,NaN,488,750,2.14009467632269,0.0517568860560083,0.971290733367367,NaN,NaN,0
一般,RRT#,3,20261906,1,218.713538993857,0.033006,0.0087998,0.032848,0,NaN,NaN,565,750,5.38986585505177,0.0415287675879288,0.931111781733117,NaN,NaN,0
一般,APF-only,3,20261906,1,229.358752665851,0.0020731,0.0019491,0.0020731,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,3,20261906,1,209.469167509404,0.0261228,0.0019957,0.023887,0,0.0019957,0.0240357,504,750,2.09707158146241,0.0364735027677199,0.972203954420083,1,5,0
一般,RRT*,4,20261907,1,217.287269538209,0.0307525,0.0041313,0.0306443,0,NaN,NaN,563,750,6.65502840397341,0.240918454617016,0.937223581549566,NaN,NaN,0
一般,Informed-RRT*,4,20261907,1,213.450325802258,0.0287135,0.0043836,0.0285635,0,NaN,NaN,523,750,4.71364711699382,0.179089363364565,0.954070940001215,NaN,NaN,0
一般,PRM*,4,20261907,1,212.447721865605,0.098884,0.0022522,0.0987553,0,NaN,NaN,752,750,3.61573600904767,0.109217242481009,0.958573484306665,NaN,NaN,0
一般,FMT*,4,20261907,1,216.156458896318,0.0210819,0.0089841,0.0209475,0,NaN,NaN,752,750,1.35685144625191,0.235799625773934,0.942126615237564,NaN,NaN,0
一般,BIT*,4,20261907,1,211.108966242719,0.2301564,0.0387874,0.2299058,0,NaN,NaN,465,750,1.07389988831247,0.210117545368826,0.964652314897826,NaN,NaN,0
一般,RRT#,4,20261907,1,212.689794520674,0.0307,0.0043131,0.0305163,0,NaN,NaN,563,750,3.76234720060617,0.276251556373546,0.957482484952659,NaN,NaN,0
一般,APF-only,4,20261907,1,229.358752665851,0.0021481,0.002026,0.0021481,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,4,20261907,1,209.936174784608,0.02599,0.0024767,0.0232697,0,0.0024767,0.0234169,505,750,2.75528014308863,0.186655348556005,0.970041267021582,1,5,0
