scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
狭窄,RRT*,1,20261904,1,259.619214031919,4.5733422,0.4756985,4.5109264,0,NaN,NaN,4567,6000,5.64752832514162,1.26775988555334,0.923796649988294,NaN,NaN,0
狭窄,Informed-RRT*,1,20261904,1,252.797982333407,1.4117584,0.0981502,1.394955,0,NaN,NaN,3752,6000,5.77976038021653,0.202277917804857,0.948723395580624,NaN,NaN,0
狭窄,PRM*,1,20261904,1,260.196596103089,4.2910332,0.0279001,4.2821085,0,NaN,NaN,6002,6000,6.1756341542779,0.669589855183387,0.92174672454308,NaN,NaN,0
狭窄,FMT*,1,20261904,1,273.449632088337,3.6299163,0.110934,3.6139316,0,NaN,NaN,6002,6000,5.7237918770563,0.361684007862623,0.87707325975777,NaN,NaN,0
狭窄,BIT*,1,20261904,1,268.88267267249,12.9969792,0.348794,12.9861429,0,NaN,NaN,3052,6000,3.37525056371957,0.470868220742219,0.891970307389089,NaN,NaN,0
狭窄,RRT#,1,20261904,1,253.008188309539,1.1499418,0.0518397,1.1405897,0,NaN,NaN,4567,6000,6.1159842934144,0.057391937876961,0.947935170785292,NaN,NaN,0
狭窄,APF-only,1,20261904,1,323.571846627543,0.0610938,0.0524092,0.0610938,NaN,NaN,NaN,NaN,51,32.9121314779335,0.193026768384975,0.741212076065908,0,5,0
狭窄,AB-IRRT*,1,20261904,1,248.081522405792,0.8446257,0.0287062,0.7982193,0,0.0287062,0.7997725,3486,6000,0.601373307831819,0.172789824244003,0.966760272467921,0,5,0
狭窄,RRT*,2,20261905,1,262.295244206208,1.0913374,0.065556,1.0896529,0,NaN,NaN,4622,6000,9.53988279149069,0.973318380848655,0.914371745172512,NaN,NaN,0
狭窄,Informed-RRT*,2,20261905,1,263.287459028785,0.8221688,0.0642561,0.8205289,0,NaN,NaN,3592,6000,7.04312376162051,0.299764656699257,0.910925879568992,NaN,NaN,0
狭窄,PRM*,2,20261905,1,257.018574102159,4.1299397,0.0044197,4.1282258,0,NaN,NaN,6002,6000,2.80346350901785,0.770081965403168,0.933144077361319,NaN,NaN,0
狭窄,FMT*,2,20261905,1,297.527326232268,8.4964304,0.2560315,8.4925139,0,NaN,NaN,6002,6000,16.5480957698007,0.93564430740505,0.806095235797099,NaN,NaN,0
狭窄,BIT*,2,20261905,0,Inf,29.4663326,NaN,29.4640466,0,NaN,NaN,4861,6000,NaN,NaN,NaN,NaN,NaN,0
狭窄,RRT#,2,20261905,1,259.236125918537,1.0517232,0.0869025,1.0488786,0,NaN,NaN,4622,6000,6.75602829308346,0.973747969594389,0.925161797359395,NaN,NaN,0
狭窄,APF-only,2,20261905,1,323.571846627543,0.0076539,0.0070403,0.0076539,NaN,NaN,NaN,NaN,51,32.9121314779335,0.193026768384975,0.741212076065908,0,5,0
狭窄,AB-IRRT*,2,20261905,1,247.704088053408,0.7246069,0.0105593,0.7115061,0,0.0105593,0.7123859,3521,6000,2.85819024990594,0.0189620252207661,0.968233354887422,0,5,0
狭窄,RRT*,3,20261906,1,269.915101289091,1.0510898,0.028735,1.0503508,0,NaN,NaN,4644,6000,8.33127168159923,1.66316733263862,0.888558509879023,NaN,NaN,0
狭窄,Informed-RRT*,3,20261906,1,265.41689778765,0.837938,0.0316331,0.8332939,0,NaN,NaN,3616,6000,9.21958607250454,0.481560000550197,0.903617524710744,NaN,NaN,0
狭窄,PRM*,3,20261906,1,260.328505216445,3.4092106,0.0154765,3.408348,0,NaN,NaN,6002,6000,6.00431934102898,1.63117580707167,0.921279673141727,NaN,NaN,0
狭窄,FMT*,3,20261906,1,275.669072578727,4.5437531,0.086097,4.5415898,0,NaN,NaN,6002,6000,4.31767327434935,4.29348157414119,0.87001185135408,NaN,NaN,0
狭窄,BIT*,3,20261906,1,264.761402193584,12.1205179,0.1208298,12.1175232,0,NaN,NaN,2717,6000,5.28689738061406,3.93436383603162,0.905854698638897,NaN,NaN,0
狭窄,RRT#,3,20261906,1,257.267260501256,1.166872,0.0423866,1.165615,0,NaN,NaN,4644,6000,6.24515539549554,1.16289775297864,0.932242057259789,NaN,NaN,0
狭窄,APF-only,3,20261906,1,323.571846627543,0.0166109,0.0122314,0.0166109,NaN,NaN,NaN,NaN,51,32.9121314779335,0.193026768384975,0.741212076065908,0,5,0
狭窄,AB-IRRT*,3,20261906,1,248.081522405792,0.8012944,0.016532,0.7788299,0,0.016532,0.7824628,3397,6000,0.601373307831819,0.172789824244003,0.966760272467921,0,5,0
狭窄,RRT*,4,20261907,1,257.184237998926,1.0647677,0.0437349,1.0637243,0,NaN,NaN,4557,6000,5.6067458166434,0.143156211117752,0.932542997430045,NaN,NaN,0
狭窄,Informed-RRT*,4,20261907,1,253.937762802007,1.0062232,0.0311558,1.0039709,0,NaN,NaN,3787,6000,4.08875338278642,0.0977989471481067,0.944465122275959,NaN,NaN,0
狭窄,PRM*,4,20261907,1,263.881887122794,3.6946399,0.0134151,3.6934548,0,NaN,NaN,6002,6000,3.64610675862661,1.51981644042166,0.908873901161988,NaN,NaN,0
狭窄,FMT*,4,20261907,1,301.939580668403,7.7732779,0.0532573,7.771641,0,NaN,NaN,6002,6000,11.5347062558207,3.31719308620855,0.794315735831512,NaN,NaN,0
狭窄,BIT*,4,20261907,1,264.121148629184,6.3148706,0.1583028,6.3136489,0,NaN,NaN,2289,6000,6.1803910788395,0.402921341870886,0.908050572398502,NaN,NaN,0
狭窄,RRT#,4,20261907,1,257.072934720166,0.963125,0.0354041,0.9618814,0,NaN,NaN,4557,6000,5.67176773481008,0.145287229257107,0.932946754804625,NaN,NaN,0
狭窄,APF-only,4,20261907,1,323.571846627543,0.0094433,0.0090092,0.0094433,NaN,NaN,NaN,NaN,51,32.9121314779335,0.193026768384975,0.741212076065908,0,5,0
