scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
悬挑,RRT*,1,20261904,1,268.281747237947,2.6322408,0.1963431,2.6033949,0,NaN,NaN,5375,6000,7.22918637694314,0.256568526440446,0.922113934637698,NaN,NaN,0
悬挑,Informed-RRT*,1,20261904,1,270.135779262888,2.1102854,0.0537051,2.0911425,0,NaN,NaN,4909,6000,7.71589976197415,0.548915424194735,0.915785158900814,NaN,NaN,0
悬挑,PRM*,1,20261904,1,262.279326290676,3.7766726,0.0398928,3.7633199,0,NaN,NaN,6002,6000,7.67414151992526,1.3445772653113,0.943217069510423,NaN,NaN,0
悬挑,FMT*,1,20261904,1,262.499055739932,0.6439793,0.1141459,0.6275427,0,NaN,NaN,6002,6000,2.10618848364872,1.70918340416961,0.942427533080937,NaN,NaN,0
悬挑,BIT*,1,20261904,1,252.705567689975,108.0015759,0.0830643,107.9905896,0,NaN,NaN,5011,6000,2.77068637508604,1.75860002653142,0.978950878678537,NaN,NaN,0
悬挑,RRT#,1,20261904,1,265.808287236665,1.2490858,0.0291723,1.2388861,0,NaN,NaN,5375,6000,6.985304953327,0.255883535659902,0.93069459988957,NaN,NaN,0
悬挑,APF-only,1,20261904,1,323.969580313845,0.060011,0.0502092,0.060011,NaN,NaN,NaN,NaN,50,31.4247601939522,0.148187916418948,0.763609772551499,0,3,0
悬挑,AB-IRRT*,1,20261904,1,250.345107205023,1.1010554,0.0233738,1.0571782,0,0.0233738,1.0595822,4623,6000,1.76152277302713,0.284637863270175,0.98818123629019,0,3,0
悬挑,RRT*,2,20261905,1,273.9713791289,0.8818009,0.0345006,0.8806421,0,NaN,NaN,5395,6000,7.52384159320079,1.41175779680731,0.902964164810323,NaN,NaN,0
悬挑,Informed-RRT*,2,20261905,1,264.899145414297,0.8867053,0.0204394,0.8858224,0,NaN,NaN,4859,6000,6.7478620889539,2.76510439376083,0.933888771706501,NaN,NaN,0
悬挑,PRM*,2,20261905,1,262.603414797757,2.8255538,0.0022904,2.8240237,0,NaN,NaN,6002,6000,3.71490338858324,0.993848980750137,0.942053010725636,NaN,NaN,0
悬挑,FMT*,2,20261905,1,256.281517687527,0.3197545,0.0332396,0.317195,0,NaN,NaN,6002,6000,1.01952645323609,0.140051965747018,0.965291370869307,NaN,NaN,0
悬挑,BIT*,2,20261905,1,252.378429110665,65.0003118,0.082854,64.997932,0,NaN,NaN,4947,6000,2.47207206582204,0.669346016909758,0.980219816760105,NaN,NaN,0
悬挑,RRT#,2,20261905,1,269.542411789365,0.9871997,0.0379174,0.983296,0,NaN,NaN,5395,6000,8.66399622539434,1.07252838461963,0.91780115750534,NaN,NaN,0
悬挑,APF-only,2,20261905,1,323.969580313845,0.0058657,0.0052475,0.0058657,NaN,NaN,NaN,NaN,50,31.4247601939522,0.148187916418948,0.763609772551499,0,3,0
