scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
环廊,RRT*,1,20261904,1,187.562038188301,4.9049614,0.2744884,4.8806814,0,NaN,NaN,5115,6000,4.13810526944258,2.28113824517481,0.904797309327579,NaN,NaN,0
环廊,Informed-RRT*,1,20261904,1,178.55708604364,2.1342821,0.0544588,2.1075931,0,NaN,NaN,4485,6000,3.99337163400883,0.000515807367786003,0.950427850526722,NaN,NaN,0
环廊,PRM*,1,20261904,1,186.786708960994,5.0726675,0.0256324,5.0627864,0,NaN,NaN,6002,6000,3.48609399977374,1.10175530506179,0.908553014444995,NaN,NaN,0
环廊,FMT*,1,20261904,1,224.287787139742,11.8271034,0.1040881,11.8070564,0,NaN,NaN,6002,6000,3.96317295935132,0.00696623820456477,0.756642301611531,NaN,NaN,0
环廊,BIT*,1,20261904,1,219.941762861159,29.7179623,0.0829956,29.7064961,0,NaN,NaN,4334,6000,4.26592418670545,0.00694153507448636,0.771593467639432,NaN,NaN,0
环廊,RRT#,1,20261904,1,192.934728608934,1.6559293,0.0364882,1.6467152,0,NaN,NaN,5115,6000,6.54312217975594,0.118733022668426,0.879601244982462,NaN,NaN,0
环廊,APF-only,1,20261904,1,235.942780406757,0.0615822,0.048265,0.0615822,NaN,NaN,NaN,NaN,40,25.1558157819012,0.0563007751018114,0.719266032180364,2,3,0
环廊,AB-IRRT*,1,20261904,1,174.691674911865,1.3998326,0.0312464,1.3437189,0,0.0312464,1.3464123,3841,6000,2.14707223803497,0.116627278414756,0.971458013499444,2,3,0
环廊,RRT*,2,20261905,1,182.030013006607,1.5729881,0.0345975,1.5713839,0,NaN,NaN,5097,6000,4.30481128059026,0.0742673439242623,0.932294761076633,NaN,NaN,0
环廊,Informed-RRT*,2,20261905,1,176.502270351034,1.8756496,0.026397,1.8741747,0,NaN,NaN,4349,6000,3.91717001595103,0.0777347446885335,0.961492603733964,NaN,NaN,0
