dimension,scene,algorithm,runs,successRuns,invalidPaths,collidingSegments,notes
2D,一般,RRT*,20,20,0,0,
2D,一般,Informed-RRT*,20,20,0,0,
2D,一般,PRM*,20,20,0,0,
2D,一般,FMT*,20,20,0,0,
2D,一般,BIT*,20,19,0,0,
2D,一般,RRT#,20,20,0,0,
2D,一般,APF-only,20,20,0,0,
2D,一般,AB-IRRT*,20,20,0,0,
2D,狭窄,RRT*,20,20,0,0,
2D,狭窄,Informed-RRT*,20,20,0,0,
2D,狭窄,PRM*,20,20,0,0,
2D,狭窄,FMT*,20,20,0,0,
2D,狭窄,BIT*,20,10,0,0,
2D,狭窄,RRT#,20,20,0,0,
2D,狭窄,APF-only,20,20,0,0,
2D,狭窄,AB-IRRT*,20,20,0,0,
2D,广阔,RRT*,20,20,0,0,
2D,广阔,Informed-RRT*,20,20,0,0,
2D,广阔,PRM*,20,20,0,0,
2D,广阔,FMT*,20,20,0,0,
2D,广阔,BIT*,20,20,0,0,
2D,广阔,RRT#,20,20,0,0,
2D,广阔,APF-only,20,20,0,0,
2D,广阔,AB-IRRT*,20,20,0,0,
3D,一般,RRT*,20,20,0,0,
3D,一般,Informed-RRT*,20,20,0,0,
3D,一般,PRM*,20,20,0,0,
3D,一般,FMT*,20,20,0,0,
3D,一般,BIT*,20,20,0,0,
3D,一般,RRT#,20,20,0,0,
3D,一般,APF-only,20,20,0,0,
3D,一般,AB-IRRT*,20,20,0,0,
3D,环廊,RRT*,20,20,0,0,
3D,环廊,Informed-RRT*,20,20,0,0,
3D,环廊,PRM*,20,20,0,0,
3D,环廊,FMT*,20,20,0,0,
3D,环廊,BIT*,20,18,0,0,
3D,环廊,RRT#,20,20,0,0,
3D,环廊,APF-only,20,20,0,0,
3D,环廊,AB-IRRT*,20,20,0,0,
